codigo;id_mun;ano;valor
1502905;45;2015;159600.20
1502905;45;2016;644291.60
1502905;45;2017;681833.89
1502905;45;2018;1140956.70
1502905;45;2019;1245060.30
1502905;45;2020;1273510.10
1502905;45;2021;1781945.00
1502905;45;2022;1865654.00
1502905;45;2023;1801285.00
1502905;45;2024;2122084.00
1502939;46;2014;313194.10
1502939;46;2015;678954.61
1502939;46;2016;985404.79
1502939;46;2017;1230929.49
1502939;46;2018;1369802.90
1502939;46;2019;1585129.00
1502939;46;2020;1738960.00
1502939;46;2021;1999068.00
1502939;46;2022;2611044.00
1502939;46;2023;2533586.00
1502939;46;2024;2742106.00
1502954;47;2014;247436.50
1502954;47;2015;505082.79
1502954;47;2016;711323.70
1502954;47;2017;992446.61
1502954;47;2018;1245657.40
1502954;47;2019;1466150.00
1502954;47;2020;1640269.50
1502954;47;2021;1613738.00
1502954;47;2022;1696913.00
1502954;47;2023;1796436.00
1502954;47;2024;2539102.00
1503002;48;2014;565113.10
1503002;48;2015;1183923.10
1503002;48;2016;1781606.00
1503002;48;2017;1039675.70
1503002;48;2018;906872.09
1503002;48;2019;910137.80
1503002;48;2020;832778.50
1503002;48;2021;2047672.00
1503002;48;2022;3303265.00
1503002;48;2023;3513456.00
1503002;48;2024;4065272.00
1503044;49;2014;119484.39
1503044;49;2015;279290.00
1503044;49;2016;449125.60
1503044;49;2017;1230927.70
1503044;49;2018;748579.10
1503044;49;2019;1043308.30
1503044;49;2020;1565608.00
1503044;49;2021;1746948.00
1503044;49;2022;1602446.00
1503044;49;2023;1661480.00
1503044;49;2024;2246662.00
1503077;50;2014;138972.98
1503077;50;2015;322251.80
1503077;50;2016;455724.40
1503077;50;2017;518941.40
1503077;50;2018;652264.10
1503077;50;2019;889044.70
1503077;50;2020;1393981.60
1503077;50;2021;1602970.00
1503077;50;2022;1624518.00
1503077;50;2023;2148835.00
1503077;50;2024;2443518.00
1503093;51;2014;261004.00
1503093;51;2015;290895.40
1503093;51;2016;552790.00
1503093;51;2017;1230929.30
